Ano;Semestre;CNPJ AC;Administradora de consórcio;Índice;Quantidade de reclamações reguladas procedentes;Quantidade de reclamações reguladas - outras;Quantidade de reclamações não reguladas;Quantidade total de reclamações;Quantidade de clientes – Consorciados;
2025;2º;00600262;FERRAZ ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;3785;
2025;2º;62534158;FF ADMINISTRADORA DE CONSÓRCIO LTDA; ;0;0;1;1;0;
2025;2º;06940240;FIEL PADUA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;3418;
2025;2º;45725975;FINAMA ADMINISTRADORA DE CONSORCIO LTDA; ;0;1;1;2;5006;
2025;2º;78688462;FIPAL ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;5812;
2025;2º;44479061;FRA-FREIRE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;2;2;1186;
2025;2º;04751943;FRANCAUTO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;0;1;1; ;
2025;2º;00643742;FUNDACAO HABITACIONAL DO EXERCITO - FHE; ;1;4;1;6;30017;
2025;2º;82942400;GAMBATTO ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;0;1;1;3649;
2025;2º;45700892;GAP ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;0;1;1;12438;
2025;2º;47820097;GAPLAN ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;1;2;19301;
2025;2º;85322204;GLOBO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;4786;
2025;2º;49937055;GMAC ADMINISTRADORA DE CONSORCIOS LTDA;215,45;28;32;8;68;129959;
2025;2º;91338228;GRAVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1; ;
2025;2º;26228270;GROSCON ADMINISTRADORA DE CONSORCIOS LTDA.; ;1;2;1;4;2622;
2025;2º;03586655;H. ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;715;
2025;2º;73516106;HS ADMINISTRADORA DE CONSÓRCIOS S.A.;27,99;10;29;7;46;357261;
2025;2º;03403333;IRMÃOS DE MARCO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;109;
2025;2º;00000776;ITAÚ ADMINISTRADORA DE CONSÓRCIOS LTDA.;212,31;150;153;36;339;706485;
2025;2º;41629070;KLUBI ADMINISTRADORA DE CONSÓRCIOS LTDA.;95,95;9;7;1;17;93797;
2025;2º;62798475;KSK ADMINISTRADORA DE CONSÓRCIO LTDA.;376,59;10;17;1;28;26554;
2025;2º;60250776;LUIZA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;5;19;4;28;114351;
2025;2º;04250224;MAGGI ADMINISTRADORA DE CONSÓRCIOS LTDA; ;5;6;1;12;45893;
2025;2º;45793395;MASSEY FERGUSON ADMINISTRADORA DE CONSÓRCIOS LTDA; ;2;1;2;5;22540;
2025;2º;76853043;MENEGALLI ADMINISTRADORA DE CONSÓRCIOS LTDA; ;1;0;1;2;4378;
2025;2º;46349106;MERCABENCO ADMINISTRADORA DE CONSORCIO LTDA; ;1;2;1;4;7392;
2025;2º;05126027;MOTOASA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;1;1;2;4;10135;
2025;2º;04124922;MULTIMARCAS ADMINISTRADORA DE CONSORCIOS LTDA.;772,37;21;33;2;56;27189;
2025;2º;05652765;NANUQUE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;7146;
2025;2º;20919916;OPÇÃO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;0;1;1;3310;
2025;2º;48041735;PORTO SEGURO ADMINISTRADORA DE CONSÓRCIOS LTDA;614,51;325;146;30;501;528876;
2025;2º;87433413;PORTOBENS ADMINISTRADORA DE CONSORCIOS LTDA; ;1;0;1;2;14324;
2025;2º;51597300;PRIMO ROSSI ADMINISTRADORA DE CONSÓRCIO LTDA.;192,77;6;1;4;11;31124;
2025;2º;09111444;PROMOVE ADMINISTRADORA DE CONSÓRCIO LTDA.;1.662,04;18;15;1;34;10830;
2025;2º;27836377;QUALINVEST ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;168;
2025;2º;91108027;RANDON ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;5;4;1;10;111033;
2025;2º;23767155;RECON ADMINISTRADORA DE CONSORCIOS LTDA; ;4;12;2;18;26351;
2025;2º;92002609;REDE OESTE ADMINISTRADORA DE CONSORCIOS LTDA.; ;0;0;1;1;5370;
2025;2º;62246228;REDENÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;2;3;1836;
2025;2º;62354055;REMAZA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;9;2;12;15864;
2025;2º;28904092;RESERVA ADMINISTRADORA DE CONSÓRCIO LTDA;2.622,37;24;14;1;39;9152;
2025;2º;80402746;RIVEL ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;5817;
2025;2º;51855716;RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.;148,38;18;26;4;48;121302;
2025;2º;80674393;SANTA FÉ ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;724;
2025;2º;55942312;SANTANDER BRASIL ADMINISTRADORA DE CONSÓRCIO LTDA.;138,22;56;80;27;163;405144;
2025;2º;96479258;SCANIA ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;2;2;19634;
2025;2º;94187879;SERELLO ADMINISTRADORA DE CONSÓRCIOS LTDA; ;0;1;1;2;12927;
2025;2º;89472310;SERRANA ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;1994;
2025;2º;76515071;SERVOPA ADMINISTRADORA DE CONSORCIOS LTDA;44,95;6;23;6;35;133452;
2025;2º;16551061;SICOOB ADMINISTRADORA DE CONSÓRCIOS LTDA.;68,30;32;37;11;80;468484;
2025;2º;87945218;SIMPALA LANÇADORA E ADMINISTRADORA DE CONSÓRCIOS LTDA.;2.433,22;45;20;1;66;18494;
2025;2º;87852273;SINOSSERRA ADMINISTRADORA DE CONSÓRCIOS LTDA; ;2;1;1;4;0;
2025;2º;26253658;SM ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1;1938;
2025;2º;04058605;SOLUÇÃO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;2;2;9922;
2025;2º;54708839;SPERTA ADMINISTRADORA DE CONSORCIO NACIONAL LTDA; ;0;0;1;1;29909;
2025;2º;87636635;SPONCHIADO ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;1;2;4261;
2025;2º;57723801;SUZUKI MOTOS ADMINISTRADORA DE CONSÓRCIO LTDA.; ;1;0;1;2;4485;
2025;2º;53211488;TARRAF ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;2;2;16107;
2025;2º;05551841;TÁGIDE ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;0;1;1; ;
2025;2º;43707203;TOYOTA ADMINISTRADORA DE CONSÓRCIOS DO BRASIL LTDA.; ;2;4;2;8;20443;
2025;2º;59956185;TRADIÇÃO ADMINISTRADORA DE CONSÓRCIO LTDA.;526,62;17;9;1;27;32281;
2025;2º;46931655;UNECONSORCIO ADMINISTRADORA DE CONSORCIOS LTDA; ;0;0;1;1;2702;
2025;2º;83553883;UNIÃO CATARINENSE ADMINISTRADORA DE CONSORCIOS LTDA; ;0;4;1;5;9916;
2025;2º;60732997;UNIFISA ADMINISTRADORA NACIONAL DE CONSORCIOS LTDA;264,52;8;25;1;34;30243;
2025;2º;57236840;VANGUARDA ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;0;1;1;704;
2025;2º;49995293;VINAC ADMINISTRADORA DE CONSÓRCIOS LTDA.; ;0;1;1;2;14708;
2025;2º;22245020;VIVIANI ADMINISTRADORA DE CONSÓRCIO NACIONAL LTDA.; ;0;0;1;1;1489;
2025;2º;74118381;VOLVO ADMINISTRADORA DE CONSÓRCIO LTDA.; ;0;1;0;1;14749;
2025;2º;40011095;XS5 ADMINISTRADORA DE CONSÓRCIOS S.A.;297,53;76;75;6;157;255434;
2025;2º;47458153;YAMAHA ADMINISTRADORA DE CONSÓRCIO LTDA.;39,61;7;20;6;33;176707;
2025;2º;23367634;ZEMA ADMINISTRADORA DE CONSÓRCIO LTDA;498,38;8;19;5;32;16052;
